transaction_id,ticket_id,customer_id,date,quantity,total_amount
1,1,1,2023-08-04,1,500000
2,2,2,2023-08-05,2,1000000
3,3,3,2023-08-06,1,500000
4,4,4,2023-08-07,3,1500000
5,5,5,2023-08-08,2,1000000
6,6,6,2023-08-09,1,500000
7,7,7,2023-08-10,4,2000000
8,8,8,2023-08-11,1,500000
9,9,9,2023-08-12,3,1500000
10,10,10,2023-08-13,2,1000000
11,21,1,2023-08-15,1,10000000
12,22,2,2023-08-16,2,8000000
13,23,3,2023-08-17,1,15000000
14,24,4,2023-08-18,3,12000000
15,25,5,2023-08-19,2,20000000
16,26,6,2023-08-20,1,5000000
17,27,7,2023-08-21,4,8000000
18,28,8,2023-08-22,1,5000000
19,29,9,2023-08-23,3,3000000
20,30,10,2023-08-24,2,1000000
21,11,1,2023-08-25,1,0
22,12,2,2023-08-26,2,0
23,13,3,2023-08-27,1,0
24,14,4,2023-08-28,3,0
25,15,5,2023-08-29,2,0
26,16,6,2023-08-30,1,0
27,17,7,2023-08-31,4,0
28,18,8,2023-09-01,1,0
29,19,9,2023-09-02,3,0
30,20,10,2023-09-03,2,0
