ticket_id,event_id,category,price
1,1,VIP,500000
2,1,Regular,250000
3,2,VIP,500000
4,2,Regular,250000
5,3,VIP,500000
6,3,Regular,250000
7,4,VIP,500000
8,4,Regular,250000
9,5,VIP,500000
10,5,Regular,250000
11,6,VIP,1000000
12,6,Regular,500000
13,7,VIP,1000000
14,7,Regular,500000
15,8,VIP,1000000
16,8,Regular,500000
17,9,VIP,1000000
18,9,Regular,500000
19,10,VIP,1000000
20,10,Regular,500000
21,11,VIP,200000
22,11,Regular,100000
23,12,VIP,200000
24,12,Regular,100000
25,13,VIP,200000
26,13,Regular,100000
27,14,VIP,200000
28,14,Regular,100000
29,15,VIP,200000
30,15,Regular,100000
31,16,VIP,1500000
32,16,Regular,750000
33,17,VIP,1500000
34,17,Regular,750000
35,18,VIP,2000000
36,18,Regular,1000000
37,19,Regular,100000
38,19,VIP,200000
39,20,Regular,150000
40,20,VIP,300000
41,21,VIP,10000000
42,21,Regular,5000000
43,22,VIP,8000000
44,22,Regular,4000000
45,23,VIP,15000000
46,23,Regular,7500000
47,24,VIP,7000000
48,24,Regular,3500000
49,25,VIP,5000000
50,25,Regular,2500000
